,time,location_name
212,1996-07-05,Cape Town
213,1996-07-15,Cape Town
214,1996-07-18,Cape Town
215,1996-07-30,Cape Town
216,1996-12-17,Cape Town
217,1997-04-10,Cape Town
218,1997-05-20,Cape Town
219,1997-06-17,Cape Town
220,1997-06-21,Cape Town
221,1997-06-24,Cape Town
222,1997-06-27,Cape Town
223,1997-07-25,Cape Town
224,1997-07-28,Cape Town
225,1997-08-18,Cape Town
226,1997-09-07,Cape Town
227,1997-09-12,Cape Town
228,1997-11-04,Cape Town
229,1998-01-06,Cape Town
230,1998-03-27,Cape Town
231,1998-06-05,Cape Town
232,1998-06-08,Cape Town
233,1998-07-23,Cape Town
234,1998-08-12,Cape Town
235,1998-09-10,Cape Town
236,1998-11-01,Cape Town
237,1998-12-05,Cape Town
238,1999-03-11,Cape Town
239,1999-03-28,Cape Town
240,1999-04-27,Cape Town
241,1999-05-29,Cape Town
242,1999-07-23,Cape Town
243,1999-08-02,Cape Town
244,1999-09-17,Cape Town
245,1999-10-08,Cape Town
246,1999-12-20,Cape Town
247,2000-01-25,Cape Town
248,2000-05-13,Cape Town
249,2000-06-11,Cape Town
250,2000-07-15,Cape Town
251,2000-07-19,Cape Town
252,2000-11-19,Cape Town
253,2001-01-12,Cape Town
254,2001-04-06,Cape Town
255,2001-07-03,Cape Town
256,2001-07-04,Cape Town
257,2001-08-03,Cape Town
258,2001-08-29,Cape Town
259,2001-10-27,Cape Town
260,2002-02-28,Cape Town
261,2002-05-21,Cape Town
262,2002-06-27,Cape Town
263,2002-07-16,Cape Town
264,2002-07-27,Cape Town
265,2002-07-28,Cape Town
266,2002-08-01,Cape Town
267,2002-08-11,Cape Town
268,2002-08-22,Cape Town
269,2002-09-11,Cape Town
270,2002-09-30,Cape Town
271,2002-10-03,Cape Town
272,2002-11-19,Cape Town
273,2003-01-15,Cape Town
274,2003-05-15,Cape Town
275,2003-08-19,Cape Town
276,2003-08-20,Cape Town
277,2003-08-25,Cape Town
278,2004-01-04,Cape Town
279,2004-03-25,Cape Town
280,2004-04-01,Cape Town
281,2004-04-03,Cape Town
282,2004-04-07,Cape Town
283,2004-04-29,Cape Town
284,2004-05-26,Cape Town
285,2005-01-20,Cape Town
286,2005-01-28,Cape Town
287,2005-03-19,Cape Town
288,2005-04-10,Cape Town
289,2005-04-11,Cape Town
290,2005-05-12,Cape Town
291,2005-05-17,Cape Town
292,2005-05-22,Cape Town
293,2005-05-31,Cape Town
294,2005-10-04,Cape Town
295,2005-10-08,Cape Town
296,2005-11-01,Cape Town
297,2005-11-02,Cape Town
298,2005-12-08,Cape Town
299,2006-01-06,Cape Town
300,2006-03-31,Cape Town
301,2006-05-10,Cape Town
302,2006-06-03,Cape Town
303,2006-07-16,Cape Town
