,time,location_name
168,1991-07-23,Rio de Janeiro
169,1991-07-24,Rio de Janeiro
170,1991-08-15,Rio de Janeiro
171,1991-09-27,Rio de Janeiro
172,1991-09-28,Rio de Janeiro
173,1991-10-07,Rio de Janeiro
174,1991-11-27,Rio de Janeiro
175,1991-12-24,Rio de Janeiro
176,1992-05-03,Rio de Janeiro
177,1992-07-24,Rio de Janeiro
178,1992-07-25,Rio de Janeiro
179,1992-09-06,Rio de Janeiro
180,1992-10-09,Rio de Janeiro
181,1992-11-02,Rio de Janeiro
182,1992-11-05,Rio de Janeiro
183,1992-12-25,Rio de Janeiro
184,1993-01-17,Rio de Janeiro
185,1993-04-07,Rio de Janeiro
186,1993-08-01,Rio de Janeiro
187,1993-08-12,Rio de Janeiro
188,1993-11-17,Rio de Janeiro
189,1993-12-20,Rio de Janeiro
190,1994-03-02,Rio de Janeiro
191,1994-03-27,Rio de Janeiro
192,1994-05-25,Rio de Janeiro
193,1994-09-10,Rio de Janeiro
194,1994-09-15,Rio de Janeiro
195,1995-01-16,Rio de Janeiro
196,1995-04-30,Rio de Janeiro
197,1995-05-22,Rio de Janeiro
198,1995-07-20,Rio de Janeiro
199,1995-09-02,Rio de Janeiro
200,1995-09-12,Rio de Janeiro
201,1995-10-30,Rio de Janeiro
202,1995-10-31,Rio de Janeiro
203,1996-01-03,Rio de Janeiro
204,1996-01-26,Rio de Janeiro
205,1996-03-18,Rio de Janeiro
206,1996-04-05,Rio de Janeiro
207,1996-04-10,Rio de Janeiro
208,1996-06-29,Rio de Janeiro
209,1996-07-12,Rio de Janeiro
210,1996-08-02,Rio de Janeiro
211,1996-08-16,Rio de Janeiro
212,1996-08-17,Rio de Janeiro
213,1996-09-08,Rio de Janeiro
214,1996-11-15,Rio de Janeiro
215,1996-12-17,Rio de Janeiro
216,1997-08-02,Rio de Janeiro
217,1997-09-09,Rio de Janeiro
218,1997-10-02,Rio de Janeiro
219,1998-01-08,Rio de Janeiro
220,1998-02-05,Rio de Janeiro
221,1998-02-10,Rio de Janeiro
222,1998-02-11,Rio de Janeiro
223,1998-03-02,Rio de Janeiro
224,1998-03-14,Rio de Janeiro
225,1998-03-19,Rio de Janeiro
226,1998-08-19,Rio de Janeiro
227,1998-08-27,Rio de Janeiro
228,1998-09-18,Rio de Janeiro
229,1998-11-10,Rio de Janeiro
230,1998-11-11,Rio de Janeiro
231,1999-01-30,Rio de Janeiro
232,1999-02-27,Rio de Janeiro
233,1999-04-17,Rio de Janeiro
234,1999-05-20,Rio de Janeiro
235,1999-05-30,Rio de Janeiro
236,1999-06-30,Rio de Janeiro
237,1999-07-01,Rio de Janeiro
238,1999-08-01,Rio de Janeiro
239,1999-08-12,Rio de Janeiro
240,1999-08-15,Rio de Janeiro
241,2000-04-06,Rio de Janeiro
242,2000-07-14,Rio de Janeiro
243,2000-07-17,Rio de Janeiro
244,2000-07-18,Rio de Janeiro
245,2000-07-25,Rio de Janeiro
246,2000-07-26,Rio de Janeiro
247,2000-08-12,Rio de Janeiro
248,2000-09-04,Rio de Janeiro
249,2000-09-05,Rio de Janeiro
250,2000-12-20,Rio de Janeiro
251,2001-03-30,Rio de Janeiro
252,2001-05-06,Rio de Janeiro
253,2001-05-25,Rio de Janeiro
254,2001-09-19,Rio de Janeiro
255,2001-10-01,Rio de Janeiro
256,2001-11-04,Rio de Janeiro
257,2002-02-21,Rio de Janeiro
258,2002-04-06,Rio de Janeiro
259,2002-07-08,Rio de Janeiro
260,2002-07-17,Rio de Janeiro
261,2002-08-10,Rio de Janeiro
262,2002-09-02,Rio de Janeiro
263,2002-09-10,Rio de Janeiro
264,2002-09-24,Rio de Janeiro
265,2002-10-21,Rio de Janeiro
266,2002-10-24,Rio de Janeiro
267,2003-02-11,Rio de Janeiro
268,2003-04-27,Rio de Janeiro
269,2003-05-01,Rio de Janeiro
270,2003-06-09,Rio de Janeiro
271,2003-06-25,Rio de Janeiro
272,2003-08-26,Rio de Janeiro
273,2003-08-29,Rio de Janeiro
274,2003-10-11,Rio de Janeiro
275,2003-12-16,Rio de Janeiro
276,2004-06-14,Rio de Janeiro
277,2004-07-20,Rio de Janeiro
278,2004-07-24,Rio de Janeiro
279,2004-07-25,Rio de Janeiro
280,2004-08-10,Rio de Janeiro
281,2004-10-07,Rio de Janeiro
282,2004-10-28,Rio de Janeiro
283,2004-12-03,Rio de Janeiro
284,2005-04-30,Rio de Janeiro
285,2005-06-18,Rio de Janeiro
286,2005-07-19,Rio de Janeiro
287,2005-07-20,Rio de Janeiro
288,2005-07-27,Rio de Janeiro
289,2006-01-28,Rio de Janeiro
290,2006-06-27,Rio de Janeiro
291,2006-07-31,Rio de Janeiro
292,2006-08-22,Rio de Janeiro
293,2006-09-05,Rio de Janeiro
294,2006-09-06,Rio de Janeiro
295,2006-10-28,Rio de Janeiro
296,2006-12-21,Rio de Janeiro
297,2006-12-24,Rio de Janeiro
298,2007-07-18,Rio de Janeiro
299,2007-07-19,Rio de Janeiro
300,2007-07-26,Rio de Janeiro
301,2007-07-27,Rio de Janeiro
302,2007-07-29,Rio de Janeiro
303,2007-07-30,Rio de Janeiro
304,2007-08-05,Rio de Janeiro
305,2007-08-11,Rio de Janeiro
306,2007-09-04,Rio de Janeiro
307,2007-09-24,Rio de Janeiro
308,2007-09-27,Rio de Janeiro
309,2007-10-24,Rio de Janeiro
310,2008-03-03,Rio de Janeiro
311,2008-03-05,Rio de Janeiro
312,2008-04-04,Rio de Janeiro
313,2008-04-12,Rio de Janeiro
314,2008-08-29,Rio de Janeiro
315,2008-09-23,Rio de Janeiro
316,2008-10-29,Rio de Janeiro
317,2009-01-29,Rio de Janeiro
318,2009-08-10,Rio de Janeiro
319,2009-08-21,Rio de Janeiro
320,2009-09-02,Rio de Janeiro
321,2010-02-08,Rio de Janeiro
322,2010-02-09,Rio de Janeiro
323,2010-02-25,Rio de Janeiro
324,2010-06-13,Rio de Janeiro
325,2010-06-21,Rio de Janeiro
326,2010-08-09,Rio de Janeiro
327,2010-08-15,Rio de Janeiro
328,2010-09-05,Rio de Janeiro
329,2010-09-10,Rio de Janeiro
330,2010-10-30,Rio de Janeiro
331,2010-12-14,Rio de Janeiro
332,2011-06-07,Rio de Janeiro
333,2011-06-15,Rio de Janeiro
334,2011-06-28,Rio de Janeiro
335,2011-07-05,Rio de Janeiro
336,2011-07-08,Rio de Janeiro
337,2011-08-14,Rio de Janeiro
338,2011-09-02,Rio de Janeiro
339,2011-09-06,Rio de Janeiro
340,2011-09-16,Rio de Janeiro
